ID,Latitude,Longitude,Element,Firstyear,Lastyear
USS0006N04S, 36.5100,-106.3200,AWND,2011,2019
USS0006N14S, 36.7200,-106.2600,AWND,2011,2019
USS0006N15S, 36.8600,-106.2300,AWND,2011,2019
USS0006N16S, 36.0300,-106.8100,AWND,2011,2019
USS0006P01S, 35.9200,-106.3900,AWND,2011,2017
USS0006P10S, 36.0000,-106.8300,AWND,2011,2017
USS0007H06S, 41.4000,-107.2600,AWND,2001,2019
USS0007J05S, 40.1100,-107.2900,AWND,2016,2019
USS0007K11S, 39.0200,-107.0500,AWND,2016,2019
USS0007M16S, 37.7200,-107.2600,AWND,2016,2017
USS0008M06S, 37.7900,-108.0200,AWND,2016,2019
USS0009G09S, 42.6500,-109.2600,AWND,2001,2012
USS0010E09S, 44.2100,-110.6700,AWND,2013,2019
USS0011J23S, 40.3000,-111.2600,AWND,2005,2017
USS0011J68S, 40.9300,-111.8100,AWND,2006,2009
USS0011J69S, 40.8300,-111.7600,AWND,2006,2017
USS0011K09S, 39.3100,-111.4300,AWND,2005,2017
USS0011R05S, 34.7500,-111.4100,AWND,2001,2019
USS0013F13S, 43.7300,-113.8300,AWND,2001,2015
USS0014F04S, 43.8000,-114.8500,AWND,1999,2018
USS0015D01S, 45.1900,-115.9700,AWND,2009,2013
USS0015E09S, 44.0500,-115.4400,AWND,1996,2013
USS0015F01S, 43.9300,-115.6700,AWND,2015,2015
USS0015F04S, 43.7600,-115.2400,AWND,1998,2019
USS0015F14S, 43.9500,-115.2700,AWND,1996,2019
USS0015N09S, 36.3200,-115.7000,AWND,2008,2019
USS0015N10S, 36.3100,-115.6800,AWND,2008,2019
USS0015N11S, 36.2500,-115.6300,AWND,2008,2019
USS0016A14S, 48.7200,-116.4600,AWND,2003,2019
USS0016E14S, 44.3800,-116.3400,AWND,2001,2016
USS0016E18S, 44.7900,-116.0900,AWND,2001,2018
USS0016F02S, 43.7600,-116.1000,AWND,1999,2015
USS0017C04S, 46.1800,-117.5400,AWND,2004,2013
USS0017C05S, 46.1200,-117.8500,AWND,2001,2012
USS0017C06S, 46.2400,-117.3900,AWND,2002,2015
USS0017D07S, 45.0800,-117.5500,AWND,2010,2018
USS0017K04S, 39.2900,-117.1100,AWND,2006,2019
USS0019L42S, 38.4000,-119.5400,AWND,2007,2019
USS0020G06S, 42.3200,-120.8300,AWND,2001,2018
USS0020K05S, 39.4300,-120.3100,AWND,2006,2016
USS0020K30S, 39.1900,-120.2600,AWND,2008,2019
USS0021A31S, 48.8700,-121.7900,AWND,1996,2015
USS0021B17S, 47.3000,-121.6000,AWND,1996,2018
USS0021B21S, 47.3600,-121.5700,AWND,2010,2017
USS0021B60S, 47.6800,-121.6100,AWND,1996,2017
USS0021F12S, 42.9600,-121.1800,AWND,2001,2018
USS0021G16S, 42.4100,-121.6800,AWND,2006,2015
USS0021G17S, 42.7900,-121.9800,AWND,2006,2018
USW00003013, 38.0700,-102.6881,AWND,1998,2019
USW00003016, 39.5264,-107.7264,AWND,1998,2019
USW00003016, 39.5264,-107.7264,PSUN,2018,2018
USW00003017, 39.8328,-104.6575,AWND,1995,2019
USW00003017, 39.8328,-104.6575,PSUN,2006,2009
USW00003024, 35.6950,-101.3950,AWND,1998,2019
USW00003026, 39.2447,-102.2842,AWND,1998,2019
USW00003027, 35.0028,-105.6628,AWND,1998,2019
USW00003028, 37.2833,-102.6139,AWND,1998,2019
USW00003029, 35.6575,-109.0614,AWND,1998,2019
USW00003030, 36.6817,-101.5053,AWND,1998,2019
USW00003030, 36.6817,-101.5053,PSUN,2019,2019
USW00003031, 31.9206,-102.3867,AWND,1998,2019
USW00003032, 30.0481,-102.2131,AWND,1999,2019
USW00003068, 38.7667,-104.3000,AWND,2006,2019
USW00003102, 34.0561,-117.6003,AWND,1998,2019
USW00003103, 35.1442,-111.6664,ACMH,1965,1989
USW00003103, 35.1442,-111.6664,ACSH,1965,1994
USW00003103, 35.1442,-111.6664,AWND,1984,2019
USW00003103, 35.1442,-111.6664,PSUN,1972,1989
USW00003104, 33.6267,-116.1594,AWND,2000,2019
USW00003124, 31.5883,-110.3442,ACMH,1965,1971
USW00003124, 31.5883,-110.3442,ACSH,1965,1971
USW00003124, 31.5883,-110.3442,AWND,2006,2016
USW00003131, 32.8158,-117.1394,AWND,1998,2019
USW00003144, 32.8342,-115.5786,AWND,2000,2019
USW00003145, 32.6500,-114.6167,AWND,1986,2019
USW00003154, 33.3000,-117.3500,ACMH,1968,1970
USW00003154, 33.3000,-117.3500,ACSH,1968,1970
USW00003154, 33.3000,-117.3500,AWND,1986,2018
USW00003159, 34.7411,-118.2117,AWND,2000,2019
USW00003160, 36.6206,-116.0278,ACMH,1984,1995
USW00003160, 36.6206,-116.0278,ACSH,1984,1996
USW00003160, 36.6206,-116.0278,AWND,1984,2019
USW00003162, 36.9261,-111.4478,AWND,1998,2019
USW00003163, 37.6122,-114.5264,AWND,1998,2002
USW00003164, 32.6261,-116.4681,AWND,1998,2019
USW00003166, 33.8719,-117.9789,AWND,1998,2019
USW00003167, 33.9228,-118.3342,AWND,1998,2019
USW00003170, 39.6014,-116.0056,AWND,1997,2019
USW00003171, 33.9519,-117.4386,AWND,1998,2019
USW00003177, 33.1281,-117.2794,AWND,1998,2019
USW00003178, 32.5722,-116.9794,AWND,1998,2019
USW00003179, 33.9753,-117.6361,AWND,1998,2019
USW00003184, 33.6883,-112.0817,AWND,1998,2019
USW00003192, 33.6228,-111.9106,AWND,2001,2019
USW00003195, 35.9461,-112.1547,AWND,1998,2019
USW00003195, 35.9461,-112.1547,PSUN,2015,2015
USW00003196, 31.4208,-110.8458,AWND,1999,2019
USW00003196, 31.4208,-110.8458,PSUN,2016,2016
USW00003749, 39.6450, -77.4681,AWND,2006,2013
USW00003757, 38.1417, -76.4292,AWND,2006,2019
USW00003802, 39.2956, -80.2289,AWND,1998,2019
USW00003804, 39.3450, -81.4392,AWND,2000,2019
USW00003804, 39.3450, -81.4392,PSUN,2012,2018
USW00003810, 35.7425, -81.3819,AWND,1998,2019
USW00003810, 35.7425, -81.3819,PSUN,2015,2018
USW00003811, 35.5931, -88.9167,AWND,1998,2019
USW00003811, 35.5931, -88.9167,PSUN,2013,2013
USW00003812, 35.4319, -82.5375,ACMH,1965,1996
USW00003812, 35.4319, -82.5375,ACSH,1965,1996
USW00003812, 35.4319, -82.5375,AWND,1984,2019
USW00003812, 35.4319, -82.5375,PSUN,1965,1983
USW00003813, 32.6847, -83.6528,ACMC,1994,1994
USW00003813, 32.6847, -83.6528,ACMH,1965,1994
USW00003813, 32.6847, -83.6528,ACSC,1994,1994
USW00003813, 32.6847, -83.6528,ACSH,1965,1994
USW00003813, 32.6847, -83.6528,AWND,1984,2019
USW00003813, 32.6847, -83.6528,PSUN,1965,2016
USW00003815, 30.4833, -87.3500,ACSH,1965,1970
USW00003816, 37.0683, -88.7719,ACMH,1984,1995
USW00003816, 37.0683, -88.7719,ACSH,1984,1995
USW00003816, 37.0683, -88.7719,AWND,1984,2019
USW00003816, 37.0683, -88.7719,PSUN,2006,2009
USW00003818, 30.8356, -85.1839,AWND,1998,2019
USW00003820, 33.3644, -81.9633,ACMH,1965,1994
USW00003820, 33.3644, -81.9633,ACSH,1965,1994
USW00003820, 33.3644, -81.9633,AWND,1984,2019
USW00003822, 32.1300, -81.2100,ACMH,1965,1996
USW00003822, 32.1300, -81.2100,ACSH,1965,1996
USW00003822, 32.1300, -81.2100,AWND,1984,2019
USW00003822, 32.1300, -81.2100,PSUN,1965,1983
USW00003841, 36.0028, -84.2486,ACSH,1965,1994
USW00003841, 36.0028, -84.2486,AWND,1995,1996
USW00003847, 35.9508, -85.0814,AWND,2000,2019
USW00003847, 35.9508, -85.0814,PSUN,2011,2017
USW00003849, 37.0872, -84.0769,AWND,1998,2019
USW00003853, 30.4000, -81.4167,ACMH,1965,1973
USW00003853, 30.4000, -81.4167,ACSH,1965,1973
USW00003853, 30.4000, -81.4167,AWND,1986,2019
USW00003855, 30.3500, -87.3167,ACMH,1965,1975
USW00003855, 30.3500, -87.3167,ACSH,1965,1979
USW00003855, 30.3500, -87.3167,AWND,1986,2014
USW00003856, 34.6439, -86.7861,ACMH,1965,1994
USW00003856, 34.6439, -86.7861,ACSH,1965,1994
USW00003856, 34.6439, -86.7861,AWND,1984,2019
USW00003859, 37.2958, -81.2078,AWND,2000,2019
USW00003860, 38.3650, -82.5550,ACMH,1965,1996
USW00003860, 38.3650, -82.5550,ACSH,1965,1996
USW00003860, 38.3650, -82.5550,AWND,1984,2019
USW00003860, 38.3650, -82.5550,PSUN,2018,2018
USW00003866, 32.5500, -88.5667,ACMH,1965,1975
USW00003866, 32.5500, -88.5667,ACSH,1965,1975
USW00003866, 32.5500, -88.5667,AWND,1986,2019
USW00003868, 39.4519, -87.3089,AWND,1998,2019
USW00003868, 39.4519, -87.3089,PSUN,2014,2014
USW00003870, 34.8831, -82.2203,ACMH,1965,1996
USW00003870, 34.8831, -82.2203,ACSH,1965,1996
USW00003870, 34.8831, -82.2203,AWND,1984,2019
USW00003870, 34.8831, -82.2203,PSUN,1965,2016
USW00003872, 37.7836, -81.1231,ACMH,1965,1994
USW00003872, 37.7836, -81.1231,ACSH,1965,1996
USW00003872, 37.7836, -81.1231,AWND,1984,2019
USW00003878, 31.8606, -86.0122,AWND,2000,2019
USW00003881, 32.8661, -87.2383,ACMH,1989,1990
USW00003881, 32.8661, -87.2383,ACSH,1989,1994
USW00003881, 32.8661, -87.2383,AWND,1984,1995
USW00003882, 30.2119, -85.6828,AWND,1998,2010
USW00003883, 33.4667, -86.8333,AWND,1994,1995
USW00003883, 33.4667, -86.8333,PSUN,1978,1983
USW00003887, 39.8344, -88.8656,AWND,2000,2019
USW00003888, 33.7792, -84.5214,AWND,1998,2019
USW00003888, 33.7792, -84.5214,PSUN,2015,2016
USW00003889, 37.5908, -83.3131,ACMH,1981,1995
USW00003889, 37.5908, -83.3131,ACSH,1981,1995
USW00003889, 37.5908, -83.3131,AWND,1984,2019
USW00003893, 39.1333, -86.6167,AWND,1998,2019
USW00003894, 36.6239, -87.4194,AWND,2001,2019
USW00003894, 36.6239, -87.4194,PSUN,2011,2017
USW00003901, 32.3847, -94.7117,AWND,1999,2019
USW00003902, 31.0667, -97.8333,AWND,2006,2014
USW00003904, 30.5892, -96.3647,AWND,1998,2019
USW00003919, 38.8000, -97.6500,ACMH,1987,1994
USW00003919, 38.8000, -97.6500,ACSH,1987,1994
USW00003919, 38.8000, -97.6500,AWND,1998,2019
USW00003919, 38.8000, -97.6500,PSUN,2014,2016
USW00003927, 32.8978, -97.0189,ACMH,1965,1995
USW00003927, 32.8978, -97.0189,ACSH,1965,1995
USW00003927, 32.8978, -97.0189,AWND,1984,2019
USW00003927, 32.8978, -97.0189,PSUN,1979,1983
USW00003928, 37.6544, -97.4425,ACMH,1965,1992
USW00003928, 37.6544, -97.4425,ACSH,1965,1992
USW00003928, 37.6544, -97.4425,AWND,1984,2019
USW00003928, 37.6544, -97.4425,PSUN,1965,2018
USW00003929, 38.8439, -94.5603,AWND,1998,2000
USW00003931, 31.0500, -93.1833,AWND,2006,2014
USW00003932, 35.2100, -99.1200,AWND,1998,2019
USW00003933, 31.1333, -97.7167,AWND,2006,2014
USW00003933, 31.1333, -97.7167,PSUN,2012,2012
USW00003935, 37.2253, -89.5706,ACMH,1987,1994
USW00003935, 37.2253, -89.5706,ACSH,1987,1994
USW00003935, 37.2253, -89.5706,AWND,1998,2019
USW00003936, 39.1353, -96.6778,AWND,1998,2019
USW00003936, 39.1353, -96.6778,PSUN,2018,2018
USW00003937, 30.1250, -93.2158,ACMC,1996,1996
USW00003937, 30.1250, -93.2158,ACMH,1965,1995
USW00003937, 30.1250, -93.2158,ACSC,1996,1996
USW00003937, 30.1250, -93.2158,ACSH,1965,1995
USW00003937, 30.1250, -93.2158,AWND,1984,2019
USW00003937, 30.1250, -93.2158,PSUN,1980,1983
USW00003940, 32.3206, -90.0778,ACMH,1965,1993
USW00003940, 32.3206, -90.0778,ACSH,1965,1993
USW00003940, 32.3206, -90.0778,AWND,1984,2019
USW00003940, 32.3206, -90.0778,PSUN,1965,1983
USW00003945, 38.8169, -92.2183,ACMH,1969,1995
USW00003945, 38.8169, -92.2183,ACSH,1969,1995
USW00003945, 38.8169, -92.2183,AWND,1984,2019
USW00003945, 38.8169, -92.2183,PSUN,1969,1983
USW00003947, 39.2972, -94.7306,ACMH,1972,1995
USW00003947, 39.2972, -94.7306,ACSH,1972,1995
USW00003947, 39.2972, -94.7306,AWND,1984,2019
USW00003947, 39.2972, -94.7306,PSUN,1972,2018
USW00003949, 31.4000, -93.2833,AWND,2006,2019
USW00003950, 34.5583, -98.4172,AWND,1998,2019
USW00003951, 32.3500, -94.6500,AWND,1984,1999
USW00003952, 34.8364, -92.2619,ACMH,1993,1996
USW00003952, 34.8364, -92.2619,ACSH,1993,1993
USW00003952, 34.8364, -92.2619,AWND,2012,2019
USW00003952, 34.8364, -92.2619,PSUN,1978,2010
USW00003953, 35.8311, -90.6464,AWND,1998,2019
USW00003954, 35.5342, -97.6469,AWND,1998,2019
USW00003957, 37.2839, -98.5528,AWND,1998,2019
USW00003959, 36.7683, -96.0261,AWND,2004,2019
USW00003960, 38.5714, -90.1572,AWND,1998,2019
USW00003962, 34.2900, -93.0600,AWND,2000,2019
USW00003963, 38.5911, -92.1558,AWND,1998,2019
USW00003965, 36.1625, -97.0894,AWND,1998,2019
USW00003966, 38.6572, -90.6558,ACMH,1987,1994
USW00003966, 38.6572, -90.6558,ACSH,1987,1994
USW00003966, 38.6572, -90.6558,AWND,1987,2019
USW00003966, 38.6572, -90.6558,PSUN,2012,2012
USW00003967, 38.8500, -94.7392,AWND,1998,2019
USW00003967, 38.8500, -94.7392,PSUN,2017,2018
USW00003969, 32.2314, -98.2319,ACMH,1989,1990
USW00003969, 32.2314, -98.2319,ACSH,1989,1994
USW00003969, 32.2314, -98.2319,AWND,1984,1994
USW00003971, 32.6808, -96.8681,AWND,1998,2019
USW00003974, 37.7461, -97.2211,AWND,1998,2019
USW00003975, 36.7725, -90.3247,AWND,1998,2019
USW00003981, 34.3622, -98.9761,AWND,1998,2019
USW00003991, 33.2061, -97.1989,AWND,1998,2019
USW00003994, 38.7042, -93.1833,AWND,1998,2019
USW00003994, 38.7042, -93.1833,PSUN,2014,2018
USW00003996, 32.3500, -91.0278,AWND,1998,2019
USW00003997, 39.0083, -95.2117,AWND,1998,2019
USW00003997, 39.0083, -95.2117,PSUN,2018,2018
USW00003998, 37.3278, -95.5042,AWND,1998,2019
USW00003999, 30.7406, -98.2353,AWND,1998,2019
USW00004109, 46.1442,-115.5964,AWND,1998,2019
USW00004110, 42.7267,-114.4564,AWND,1998,2019
USW00004111, 41.2731,-111.0306,AWND,1999,2019
USW00004112, 44.1708,-114.9272,AWND,1998,2019
USW00004113, 45.8258,-119.2611,AWND,1998,2019
USW00004114, 44.5228,-114.2150,AWND,1998,2019
USW00004134, 40.1606,-113.3508,AWND,2006,2019
USW00004201, 45.7728,-122.8611,AWND,1998,2019
USW00004724, 43.1072, -78.9453,AWND,2001,2019
USW00004725, 42.1997, -75.9850,ACMH,1965,1995
USW00004725, 42.1997, -75.9850,ACSC,1995,1995
USW00004725, 42.1997, -75.9850,ACSH,1965,1995
USW00004725, 42.1997, -75.9850,AWND,1984,2019
USW00004725, 42.1997, -75.9850,PSUN,1965,1983
USW00004726, 40.3161, -78.8339,AWND,2000,2019
USW00004751, 41.8031, -78.6403,AWND,1984,2019
USW00004769, 42.4167, -71.4833,ACMH,1965,1971
USW00004769, 42.4167, -71.4833,ACSH,1965,1971
USW00004780, 42.5519, -71.7558,AWND,1998,2019
USW00004781, 40.7939, -73.1017,AWND,1984,2019
USW00004781, 40.7939, -73.1017,PSUN,2014,2014
USW00004787, 41.1783, -78.8989,AWND,1994,2019
USW00004787, 41.1783, -78.8989,PSUN,2014,2016
USW00004789, 41.5092, -74.2650,AWND,1998,2019
USW00004803, 45.6308, -89.4653,AWND,1998,2019
USW00004804, 40.0781, -83.0781,AWND,1998,2019
USW00004808, 41.7700, -88.4814,AWND,1998,2019
USW00004826, 44.3592, -89.8369,AWND,1998,2019
USW00004836, 47.2856, -68.3133,AWND,1998,2019
USW00004836, 47.2856, -68.3133,PSUN,2018,2018
USW00004838, 42.1208, -87.9047,AWND,1998,2019
USW00004839, 42.7461, -86.0967,AWND,1998,2019
USW00004839, 42.7461, -86.0967,PSUN,2014,2014
USW00004840, 43.7700, -88.4864,AWND,1998,2019
USW00004841, 43.7694, -87.8506,AWND,1998,2019
USW00004842, 40.8731, -81.8867,AWND,1998,2019
USW00004843, 41.6264, -80.2150,AWND,1998,2019
USW00004845, 42.5950, -87.9381,AWND,1998,2019
USW00004846, 41.4525, -87.0058,AWND,1998,2019
USW00004847, 41.8678, -84.0794,AWND,1998,2019
USW00004848, 41.5631, -83.4764,AWND,1998,2019
USW00004849, 41.3461, -82.1794,AWND,1998,2019
USW00004850, 40.7083, -84.0267,AWND,1998,2019
USW00004851, 41.3375, -84.4289,AWND,1998,2019
USW00004852, 40.4719, -81.4236,AWND,1998,2019
USW00004852, 40.4719, -81.4236,PSUN,2014,2014
USW00004853, 41.5175, -81.6836,AWND,1998,2019
USW00004854, 45.0133, -84.7014,AWND,1998,2019
USW00004855, 40.6161, -83.0636,AWND,1998,2019
USW00004856, 45.9500, -86.2297,AWND,1998,2004
USW00004857, 41.7781, -80.6958,AWND,1998,2019
USW00004858, 40.0228, -82.4625,AWND,1999,2019
USW00012812, 26.9172, -81.9914,AWND,1998,2019
USW00012815, 28.4339, -81.3250,ACMH,1974,1996
USW00012815, 28.4339, -81.3250,ACSH,1974,1996
USW00012815, 28.4339, -81.3250,AWND,1984,2019
USW00012816, 29.6919, -82.2756,AWND,1984,2019
USW00012818, 28.4736, -82.4544,AWND,1998,2019
USW00012819, 28.8208, -81.8097,AWND,1998,2019
USW00012832, 29.7333, -85.0333,AWND,1998,2019
USW00012833, 29.6333, -83.1053,AWND,1998,2019
USW00012834, 29.1828, -81.0483,ACMH,1965,1995
USW00012834, 29.1828, -81.0483,ACSH,1965,1995
USW00012834, 29.1828, -81.0483,AWND,1984,2019
USW00012835, 26.5850, -81.8614,ACMH,1965,1976
USW00012835, 26.5850, -81.8614,ACSH,1965,1998
USW00012835, 26.5850, -81.8614,AWND,1984,2019
USW00012836, 24.5550, -81.7522,ACMH,1965,1996
USW00012836, 24.5550, -81.7522,ACSH,1965,1996
USW00012836, 24.5550, -81.7522,AWND,1984,2019
USW00012836, 24.5550, -81.7522,PSUN,1965,2012
USW00012838, 28.1011, -80.6439,AWND,2001,2019
USW00012839, 25.7906, -80.3164,ACMH,1965,1996
USW00012839, 25.7906, -80.3164,ACSH,1965,1996
USW00012839, 25.7906, -80.3164,AWND,1984,2019
USW00012839, 25.7906, -80.3164,PSUN,1970,2018
USW00012841, 28.5453, -81.3331,ACMH,1965,1974
USW00012841, 28.5453, -81.3331,ACSH,1965,1974
USW00012841, 28.5453, -81.3331,AWND,1998,2019
USW00012842, 27.9619, -82.5403,ACMH,1965,1995
USW00012842, 27.9619, -82.5403,ACSH,1965,1995
USW00012842, 27.9619, -82.5403,AWND,1984,2019
USW00012842, 27.9619, -82.5403,PSUN,1965,2010
USW00012843, 27.6531, -80.2428,AWND,1984,2019
USW00012844, 26.6847, -80.0994,ACMH,1965,1993
USW00012844, 26.6847, -80.0994,ACSH,1965,1993
USW00012844, 26.6847, -80.0994,AWND,1984,2019
USW00012849, 26.0719, -80.1536,AWND,1998,2019
USW00012850, 24.5833, -81.6833,ACMH,1965,1975
USW00012850, 24.5833, -81.6833,ACSH,1965,1975
USW00012850, 24.5833, -81.6833,AWND,1986,2019
USW00012850, 24.5833, -81.6833,PSUN,1967,1967
USW00012854, 28.7797, -81.2436,ACMH,1965,1968
USW00012854, 28.7797, -81.2436,ACSH,1965,1968
USW00012854, 28.7797, -81.2436,AWND,1999,2019
USW00012859, 25.7167, -80.2833,ACMH,1971,1971
USW00012859, 25.7167, -80.2833,ACSH,1965,1976
USW00012859, 25.7167, -80.2833,PSUN,1965,1977
USW00012863, 28.9667, -89.3833,ACMH,1965,1965
USW00012863, 28.9667, -89.3833,ACSH,1965,1965
USW00012871, 27.4014, -82.5586,AWND,1999,2019
USW00012873, 27.9106, -82.6875,AWND,1998,2019
USW00012876, 28.0622, -81.7542,AWND,1998,2019
USW00012882, 25.9069, -80.2803,AWND,1998,2019
USW00012883, 28.0206, -81.9219,ACSH,1965,1978
USW00012883, 28.0206, -81.9219,PSUN,1965,1978
USW00012884, 29.3331, -89.4075,ACMH,1965,1975
USW00012884, 29.3331, -89.4075,ACSH,1965,1983
USW00012884, 29.3331, -89.4075,AWND,2000,2019
USW00012885, 26.1969, -80.1708,AWND,1998,2019
USW00012888, 25.6475, -80.4331,AWND,1998,2019
USW00012894, 26.5361, -81.7550,AWND,1998,2019
USW00012895, 27.4981, -80.3767,AWND,1999,2019
USW00012896, 24.7258, -81.0517,AWND,1998,2019
USW00012896, 24.7258, -81.0517,PSUN,2012,2012
USW00012897, 26.1522, -81.7753,AWND,2002,2019
USW00012904, 26.2281, -97.6542,AWND,1998,2019
USW00012904, 26.2281, -97.6542,PSUN,2018,2018
USW00012907, 27.5333, -99.4667,AWND,2011,2018
USW00012912, 28.8614, -96.9303,ACMH,1965,1995
USW00012912, 28.8614, -96.9303,ACSH,1965,1995
USW00012912, 28.8614, -96.9303,AWND,1984,2019
USW00012916, 29.9933, -90.2511,ACMH,1965,1996
USW00012916, 29.9933, -90.2511,ACSH,1965,1996
USW00012916, 29.9933, -90.2511,AWND,1984,2019
